,Match Up_x,Game Date_x,Season_x,W/L_x,MIN_x,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Match Up_y,Game Date_y,Season_y,W/L_y,MIN_y,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
0,WAS vs. CHA,05/16/2021,,W,48,115,44,91,48.4,10,31,32.3,17,21,81.0,10,43,53,22,14,4,3,20,5,SAS vs. PHX,05/16/2021,,L,48,117.5,118.3,-0.8,60.0,3.00,20.7,25.5,74.5,50.0,9.7,54.6,56.9,103.50,47.9
1,SAC vs. UTA,05/16/2021,,L,48,99,42,90,46.7,9,30,30.0,6,10,60.0,5,34,39,24,13,10,5,22,-22,SAC vs. UTA,05/16/2021,,L,48,97.1,119.8,-22.7,57.1,1.85,18.0,14.3,74.5,43.8,12.7,51.7,52.4,101.50,40.3
2,OKC vs. LAC,05/16/2021,,W,48,117,50,94,53.2,8,26,30.8,9,16,56.3,14,40,54,20,15,1,12,11,5,CHA @ WAS,05/16/2021,,L,48,105.8,112.7,-7.0,67.6,1.92,17.4,25.4,72.9,46.7,12.5,46.8,52.6,103.00,47.5
3,NYK vs. BOS,05/16/2021,,W,48,96,34,79,43.0,13,27,48.1,15,19,78.9,4,37,41,16,11,7,6,17,4,CHI vs. MIL,05/16/2021,,W,48,113.5,107.7,5.8,51.1,1.44,16.8,25.0,74.1,52.0,15.4,59.8,61.9,104.00,55.4
4,PHX @ SAS,05/16/2021,,W,48,123,53,104,51.0,13,35,37.1,4,4,100,10,38,48,36,8,7,5,13,2,IND @ TOR,05/16/2021,,W,48,117.9,107.6,10.3,70.8,2.62,22.4,27.1,67.8,49.5,12.3,58.4,60.7,105.50,57.2
5,SAS vs. PHX,05/16/2021,,L,48,121,50,98,51.0,7,24,29.2,14,19,73.7,11,35,46,30,10,5,5,8,-2,ATL vs. HOU,05/16/2021,,W,48,120.4,93.1,27.3,65.3,2.46,21.5,29.8,75.0,55.9,12.6,58.3,61.1,102.50,67.8
6,UTA @ SAC,05/16/2021,,W,48,121,41,86,47.7,18,39,46.2,21,25,84.0,9,41,50,28,16,9,3,14,22,PHI vs. ORL,05/16/2021,,W,48,123.1,112.5,10.6,76.1,2.92,23.5,19.6,74.4,44.7,11.5,59.0,61.5,104.00,53.9
7,BOS @ NYK,05/16/2021,,L,48,92,35,86,40.7,11,41,26.8,11,15,73.3,9,37,46,19,12,4,6,19,-4,MIL @ CHI,05/16/2021,,L,48,107.7,113.5,-5.8,36.8,1.17,10.6,25.9,75.0,48.0,11.5,48.9,53.8,104.00,44.6
8,CHA @ WAS,05/16/2021,,L,48,110,37,94,39.4,14,45,31.1,22,24,91.7,10,32,42,25,13,8,5,15,-5,DEN @ POR,05/16/2021,,L,48,118.4,136.1,-17.7,45.5,3.33,15.3,25.5,65.9,43.4,6.1,52.0,55.4,97.50,41.8
9,LAC @ OKC,05/16/2021,,L,48,112,45,106,42.5,10,43,23.3,12,15,80.0,16,28,44,17,3,8,3,14,-5,BKN vs. CLE,05/16/2021,,W,48,125.5,110.1,15.4,74.5,2.92,25.4,12.8,67.9,44.6,12.2,66.3,68.0,98.50,60.4
