,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
0,Anthony Edwards,MIN,19,72,23,49,32.1,110.6,115.6,-5.0,14.2,1.32,12.4,2.3,12.1,7.0,9.4,48.8,52.3,26.4,102.71,9.4,"4,961"
1,Bojan Bogdanovic,UTA,32,72,52,20,30.8,116.8,107.3,9.5,9.1,1.06,10.4,1.8,9.9,6.0,9.8,53.6,58.8,22.5,99.94,9.4,"4,604"
2,Duncan Robinson,MIA,27,72,40,32,31.4,110.6,108.3,2.3,8.2,1.57,13.4,0.3,10.9,5.7,8.5,61.4,62.8,16.2,97.55,7.5,"4,602"
3,Dwayne Bacon,ORL,25,72,21,51,25.7,101.3,112.8,-11.4,8.0,2.02,9.9,1.5,10.2,5.6,4.9,44.3,49.0,19.3,100.39,6.9,"3,875"
4,Enes Kanter,POR,29,72,42,30,24.4,119.7,114.8,4.9,6.9,1.08,10.6,14.8,28.1,21.3,9.8,60.5,63.6,16.9,98.79,14.1,"3,607"
5,Georges Niang,UTA,27,72,52,20,16.0,114.9,100.3,14.6,7.1,1.16,11.2,2.4,11.7,7.2,9.7,59.0,60.2,16.9,101.74,7.6,"2,445"
6,Ivica Zubac,LAC,24,72,47,25,22.3,114.3,109.3,5.0,7.9,1.11,13.9,12.1,20.0,16.2,12.5,65.4,69.3,14.7,98.99,11.7,"3,324"
7,Justin Holiday,IND,32,72,34,38,30.3,110.5,111.2,-0.6,7.0,2.20,14.3,1.4,9.8,5.7,6.5,55.1,57.1,13.8,103.14,6.5,"4,684"
8,Mikal Bridges,PHX,24,72,51,21,32.6,117.5,110.0,7.4,8.5,2.67,16.3,3.5,9.9,6.8,6.1,64.3,66.7,14.7,98.32,9.9,"4,800"
9,Nikola Jokic,DEN,26,72,47,25,34.6,120.2,112.6,7.7,37.7,2.70,26.2,8.7,23.7,16.3,9.7,60.2,64.7,29.3,98.15,20.1,"5,084"
10,RJ Barrett,NYK,20,72,41,31,34.9,110.0,107.2,2.7,13.4,1.56,14.1,2.7,13.0,7.9,9.0,49.9,53.5,22.8,97.54,9.5,"5,101"
11,Andrew Wiggins,GSW,26,71,38,33,33.3,108.9,109.1,-0.2,11.0,1.33,11.5,3.4,10.6,7.1,8.7,54.3,56.8,22.9,103.17,9.9,"5,085"
12,Buddy Hield,SAC,28,71,31,40,34.3,114.5,116.3,-1.8,14.1,1.98,18.2,1.2,12.6,6.9,9.2,54.8,56.7,20.1,101.26,8.4,"5,149"
13,Eric Bledsoe,NOP,31,71,31,40,29.7,113.0,114.8,-1.8,17.0,2.35,22.4,1.3,10.0,5.7,9.5,50.3,53.3,18.1,101.67,7.7,"4,479"
14,Julius Randle,NYK,26,71,40,31,37.6,109.8,106.8,3.0,26.9,1.77,19.7,3.1,22.7,13.1,11.1,51.6,56.7,28.5,97.22,15.8,"5,398"
15,Patrick Williams,CHI,19,71,30,41,27.9,106.3,113.5,-7.1,6.8,1.01,12.7,3.3,13.1,8.2,12.6,53.4,56.2,14.6,100.41,7.1,"4,151"
16,Robin Lopez,WAS,33,71,34,37,19.1,107.9,109.0,-1.1,6.0,0.73,9.0,9.7,9.2,9.5,12.2,63.9,66.1,16.9,103.69,10.2,"2,933"
17,Royce O'Neale,UTA,27,71,51,20,31.6,117.7,107.3,10.4,10.3,2.18,26.6,3.9,16.2,10.4,12.2,58.0,59.9,9.5,99.48,7.4,"4,639"
18,Rudy Gobert,UTA,28,71,52,19,30.8,116.8,100.9,15.9,5.9,0.75,9.4,11.0,28.8,20.5,12.4,67.5,68.3,16.6,101.32,16.5,"4,613"
19,Solomon Hill,ATL,30,71,41,30,21.3,111.6,110.6,1.0,6.5,1.79,17.2,2.8,11.1,7.0,9.7,47.3,49.8,10.2,99.93,4.5,"3,148"
20,Brook Lopez,MIL,33,70,46,24,27.2,117.0,110.2,6.8,3.3,0.78,6.1,5.4,11.5,8.6,7.9,57.7,61.1,16.6,103.68,8.5,"4,123"
