Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2015-10-27,away,Detroit,Atlanta,1610612765,0021500001,0.0,265.0,256.0,260.0,255.0,255.0,250.0,255.2,260.0,250.0,0.0,8.0,-110.0,6.5,-100.0,7.0,-107.0,7.0,-105.0,7.0,-105.0,7.0,-110.0,7.08,-106.17,8.0,6.5,-100.0,-110.0,36.3,201.0,-110,196.5,-105.0,196.5,-103.0,196.0,-105.0,197.0,-105.0,196.5,-112,197.25,-106.67,201.0,196.0,-103.0,-112.0,106.0,12.0,W,200.0
2015-10-27,home,Atlanta,Detroit,1610612737,0021500001,100.0,-315.0,-290.0,-290.0,-315.0,-310.0,-300.0,-301.0,-290.0,-315.0,100.0,-8.0,-110.0,-6.5,-110.0,-7.0,-103.0,-7.0,-105.0,-7.0,-115.0,-7.0,-110.0,-7.08,-108.83,-6.5,-8.0,-103.0,-115.0,63.7,201.0,-110,196.5,-105.0,196.5,-107.0,196.0,-105.0,197.0,-115.0,196.5,-108,197.25,-108.33,201.0,196.0,-105.0,-115.0,94.0,-12.0,L,200.0
2015-10-27,away,Cleveland,Chicago,1610612739,0021500002,58.8,125.0,152.0,155.0,155.0,140.0,155.0,151.4,155.0,140.0,0.0,1.5,-110.0,4.0,-105.0,4.0,-110.0,4.0,-105.0,3.5,-105.0,4.0,-110.0,3.5,-107.5,4.0,1.5,-105.0,-110.0,41.6,197.5,-110,198.5,-108.0,198.5,-110.0,199.0,-105.0,198.0,-110.0,198.5,-110,198.33,-108.83,199.0,197.5,-105.0,-110.0,95.0,-2.0,L,192.0
2015-10-27,home,Chicago,Cleveland,1610612741,0021500002,41.2,-145.0,-171.0,-175.0,-175.0,-160.0,-175.0,-171.2,-160.0,-175.0,100.0,-1.5,-110.0,-4.0,-105.0,-4.0,-110.0,-4.0,-105.0,-3.5,-115.0,-4.0,-110.0,-3.5,-109.17,-1.5,-4.0,-105.0,-115.0,58.4,197.5,-110,198.5,-102.0,198.5,-110.0,199.0,-105.0,198.0,-110.0,198.5,-110,198.33,-107.83,199.0,197.5,-102.0,-110.0,97.0,2.0,W,192.0
2015-10-27,away,New Orleans,Golden State,1610612740,0021500003,33.3,445.0,574.0,500.0,540.0,425.0,535.0,514.8,574.0,425.0,53.8,8.5,-110.0,10.5,-105.0,10.5,-110.0,10.5,-105.0,10.5,-110.0,10.5,-110.0,10.17,-108.33,10.5,8.5,-105.0,-110.0,45.0,208.5,-110,215.0,-102.0,215.0,-110.0,215.0,-105.0,215.0,-105.0,215.5,-110,214.0,-107.0,215.5,208.5,-102.0,-110.0,95.0,-16.0,L,206.0
2015-10-27,home,Golden State,New Orleans,1610612744,0021500003,66.7,-550.0,-707.0,-700.0,-690.0,-650.0,-700.0,-689.4,-650.0,-707.0,46.2,-8.5,-110.0,-10.5,-105.0,-10.5,-110.0,-10.5,-105.0,-10.5,-110.0,-10.5,-110.0,-10.17,-108.33,-8.5,-10.5,-105.0,-110.0,55.0,208.5,-110,215.0,-108.0,215.0,-110.0,215.0,-105.0,215.0,-115.0,215.5,-110,214.0,-109.67,215.5,208.5,-105.0,-115.0,111.0,16.0,W,206.0
2015-10-28,away,Washington,Orlando,1610612764,0021500004,54.4,-180.0,-180.0,-175.0,-190.0,-200.0,-183.0,-185.6,-175.0,-200.0,55.7,-3.5,-110.0,-4.5,-102.0,-4.5,-101.0,-4.5,-105.0,-4.5,-110.0,-4.0,-115.0,-4.25,-107.17,-3.5,-4.5,-101.0,-115.0,51.1,194.0,-110,202.0,-105.0,202.5,-103.0,202.0,-105.0,203.0,-110.0,202.5,-110,201.0,-107.17,203.0,194.0,-103.0,-110.0,88.0,1.0,W,175.0
2015-10-28,home,Orlando,Washington,1610612753,0021500004,45.6,160.0,162.0,165.0,165.0,170.0,163.0,165.0,170.0,162.0,44.3,3.5,-110.0,4.5,-113.0,4.5,-109.0,4.5,-105.0,4.5,-110.0,4.0,-105.0,4.25,-108.67,4.5,3.5,-105.0,-113.0,48.9,194.0,-110,202.0,-105.0,202.5,-107.0,202.0,-105.0,203.0,-110.0,202.5,-110,201.0,-107.83,203.0,194.0,-105.0,-110.0,87.0,-1.0,L,175.0
2015-10-28,away,Philadelphia,Boston,1610612755,0021500005,52.5,635.0,767.0,700.0,735.0,,725.0,731.75,767.0,700.0,37.1,9.0,-110.0,12.5,-110.0,12.5,-110.0,12.5,-105.0,12.5,-110.0,12.5,-110.0,11.92,-109.17,12.5,9.0,-105.0,-110.0,35.0,201.5,-110,198.0,-104.0,198.0,-110.0,198.0,-105.0,198.0,-110.0,198.0,-110,198.58,-108.17,201.5,198.0,-104.0,-110.0,95.0,-17.0,L,207.0
2015-10-28,home,Boston,Philadelphia,1610612738,0021500005,47.5,-850.0,-1000.0,-1100.0,-1035.0,,-1000.0,-1033.75,-1000.0,-1100.0,62.9,-9.0,-110.0,-12.5,-100.0,-12.5,-110.0,-12.5,-105.0,-12.5,-110.0,-12.5,-110.0,-11.92,-107.5,-9.0,-12.5,-100.0,-110.0,65.0,201.5,-110,198.0,-106.0,198.0,-110.0,198.0,-105.0,198.0,-110.0,198.0,-110,198.58,-108.5,201.5,198.0,-105.0,-110.0,112.0,17.0,W,207.0
2015-10-28,away,Chicago,Brooklyn,1610612741,0021500006,56.5,-240.0,-202.0,-220.0,-215.0,-220.0,-210.0,-213.4,-202.0,-220.0,56.2,-3.0,-110.0,-5.0,-101.0,-5.0,-110.0,-5.0,-105.0,-5.5,-105.0,-5.0,-110.0,-4.75,-106.83,-3.0,-5.5,-101.0,-110.0,44.6,197.5,-110,196.0,-107.0,196.5,-110.0,196.0,-105.0,196.0,-105.0,196.5,-105,196.42,-107.0,197.5,196.0,-105.0,-110.0,115.0,15.0,W,215.0
2015-10-28,home,Brooklyn,Chicago,1610612751,0021500006,43.5,200.0,181.0,180.0,185.0,180.0,180.0,181.2,185.0,180.0,43.8,3.0,-110.0,5.0,-109.0,5.0,-110.0,5.0,-105.0,5.5,-115.0,5.0,-110.0,4.75,-109.83,5.5,3.0,-105.0,-115.0,55.4,197.5,-110,196.0,-103.0,196.5,-110.0,196.0,-105.0,196.0,-115.0,196.5,-115,196.42,-109.67,197.5,196.0,-103.0,-115.0,100.0,-15.0,L,215.0
