Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2016-04-16,away,Indiana,Toronto,1610612754,0041500111,43.5,240,270,255,260,265.0,250,260.0,270.0,250.0,41.1,6.0,-110,7.0,-106,7.0,-110,7.0,-105,7.0,-110,7.0,-110,6.83,-108.5,7.0,6.0,-105,-110,53.0,195.0,-110,195.0,-104,195.0,-110,195.5,-105,196,-110,195.0,-110,195.25,-108.17,196.0,195.0,-104,-110,100,10,W,190
2016-04-16,home,Toronto,Indiana,1610612761,0041500111,56.5,-285,-307,-310,-320,-330.0,-300,-313.4,-300.0,-330.0,58.9,-6.0,-110,-7.0,-104,-7.0,-110,-7.0,-105,-7.0,-110,-7.0,-110,-6.83,-108.17,-6.0,-7.0,-104,-110,47.0,195.0,-110,195.0,-106,195.0,-110,195.5,-105,196,-110,195.0,-110,195.25,-108.5,196.0,195.0,-105,-110,90,-10,L,190
2016-04-16,away,Boston,Atlanta,1610612738,0041500131,59.5,175,200,180,190,165.0,185,184.0,200.0,165.0,54.0,4.5,-110,5.5,-102,5.5,-110,5.5,-105,5.0,-105,5.5,-110,5.25,-107.0,5.5,4.5,-102,-110,0.0,207.0,-110,206.0,-105,206.0,-110,206.5,-105,206,-110,206.0,-110,206.25,-108.33,207.0,206.0,-105,-110,101,-1,L,203
2016-04-16,home,Atlanta,Boston,1610612737,0041500131,40.5,-205,-224,-220,-225,-190.0,-215,-214.8,-190.0,-225.0,46.0,-4.5,-110,-5.5,-108,-5.5,-110,-5.5,-105,-5.0,-115,-5.5,-110,-5.25,-109.67,-4.5,-5.5,-105,-115,100.0,207.0,-110,206.0,-105,206.0,-110,206.5,-105,206,-110,206.0,-110,206.25,-108.33,207.0,206.0,-105,-110,102,1,W,203
2016-04-16,away,Houston,Golden State,1610612745,0041500141,55.3,825,901,775,900,,875,862.75,901.0,775.0,42.9,14.0,-110,13.0,-103,13.0,-110,13.0,-105,13.5,-110,13.0,-110,13.25,-108.0,14.0,13.0,-103,-110,51.4,226.0,-110,224.5,-113,224.5,-110,225.0,-105,226,-105,224.5,-110,225.08,-108.83,226.0,224.5,-105,-113,78,-26,L,182
2016-04-16,home,Golden State,Houston,1610612744,0041500141,44.7,-1200,-1224,-1200,-1250,,-1300,-1243.5,-1200.0,-1300.0,57.1,-14.0,-110,-13.0,-107,-13.0,-110,-13.0,-105,-13.5,-110,-13.0,-110,-13.25,-108.67,-13.0,-14.0,-105,-110,48.6,226.0,-110,224.5,-102,224.5,-110,225.0,-105,226,-115,224.5,-110,225.08,-108.67,226.0,224.5,-102,-115,104,26,W,182
2016-04-16,away,Dallas,Oklahoma City,1610612742,0041500161,52.5,635,736,650,740,,725,712.75,740.0,650.0,53.3,12.5,-110,12.5,-105,12.5,-110,12.5,-105,12.0,-110,12.5,-115,12.42,-109.17,12.5,12.0,-105,-115,45.4,213.0,-110,206.0,-105,206.0,-110,206.5,-105,207,-110,206.0,-110,207.42,-108.33,213.0,206.0,-105,-110,70,-38,L,178
2016-04-16,home,Oklahoma City,Dallas,1610612760,0041500161,47.5,-850,-950,-1000,-1040,,-1000,-997.5,-950.0,-1040.0,46.7,-12.5,-110,-12.5,-105,-12.5,-110,-12.5,-105,-12.0,-110,-12.5,-105,-12.42,-107.5,-12.0,-12.5,-105,-110,54.6,213.0,-110,206.0,-105,206.0,-110,206.5,-105,207,-110,206.0,-110,207.42,-108.33,213.0,206.0,-105,-110,108,38,W,178
2016-04-17,away,Detroit,Cleveland,1610612765,0041500101,53.0,510,622,575,600,,575,593.0,622.0,575.0,45.6,11.0,-110,11.0,-100,11.0,-110,11.0,-105,11.5,-115,11.0,-109,11.08,-108.17,11.5,11.0,-100,-115,50.0,203.0,-110,200.0,-108,200.5,-110,200.5,-105,201,-110,200.5,-110,200.92,-108.83,203.0,200.0,-105,-110,101,-5,L,207
2016-04-17,home,Cleveland,Detroit,1610612739,0041500101,47.0,-660,-777,-850,-750,,-750,-781.75,-750.0,-850.0,54.4,-11.0,-110,-11.0,-110,-11.0,-110,-11.0,-105,-11.5,-105,-11.0,-111,-11.08,-108.5,-11.0,-11.5,-105,-111,50.0,203.0,-110,200.0,-102,200.5,-110,200.5,-105,201,-110,200.5,-110,200.92,-107.83,203.0,200.0,-102,-110,106,5,W,207
