GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV
2017-10-17,1,0021700001,1610612738,BOS,Boston,0-1,19,19,33,28,0,0,0,0,0,0,0,0,0,0,99,0.409,0.76,0.25,24,46,10
2017-10-17,1,0021700001,1610612739,CLE,Cleveland,1-0,29,25,18,30,0,0,0,0,0,0,0,0,0,0,102,0.458,0.84,0.227,19,50,17
2017-10-17,2,0021700002,1610612745,HOU,Houston,1-0,34,28,26,34,0,0,0,0,0,0,0,0,0,0,122,0.485,0.684,0.366,28,43,12
2017-10-17,2,0021700002,1610612744,GSW,Golden State,0-1,35,36,30,20,0,0,0,0,0,0,0,0,0,0,121,0.538,0.905,0.533,34,41,17
2017-10-18,1,0021700003,1610612766,CHA,Charlotte,0-1,27,18,25,20,0,0,0,0,0,0,0,0,0,0,90,0.397,0.793,0.3,16,47,17
2017-10-18,1,0021700003,1610612765,DET,Detroit,1-0,29,27,26,20,0,0,0,0,0,0,0,0,0,0,102,0.427,0.917,0.346,24,47,8
2017-10-18,2,0021700004,1610612751,BKN,Brooklyn,0-1,30,33,35,33,0,0,0,0,0,0,0,0,0,0,131,0.479,0.906,0.4,22,43,20
2017-10-18,2,0021700004,1610612754,IND,Indiana,1-0,29,36,41,34,0,0,0,0,0,0,0,0,0,0,140,0.52,0.781,0.265,29,47,14
2017-10-18,3,0021700005,1610612748,MIA,Miami,0-1,37,18,23,31,0,0,0,0,0,0,0,0,0,0,109,0.436,0.765,0.267,27,44,13
2017-10-18,3,0021700005,1610612753,ORL,Orlando,1-0,32,26,30,28,0,0,0,0,0,0,0,0,0,0,116,0.478,0.759,0.381,22,50,14
2017-10-18,4,0021700006,1610612755,PHI,Philadelphia,0-1,23,36,23,33,0,0,0,0,0,0,0,0,0,0,115,0.462,0.737,0.429,25,48,17
2017-10-18,4,0021700006,1610612764,WAS,Washington,1-0,32,24,34,30,0,0,0,0,0,0,0,0,0,0,120,0.433,0.789,0.273,21,52,9
2017-10-18,5,0021700007,1610612749,MIL,Milwaukee,1-0,24,34,18,32,0,0,0,0,0,0,0,0,0,0,108,0.5,0.833,0.333,19,45,15
2017-10-18,5,0021700007,1610612738,BOS,Boston,0-2,26,27,27,20,0,0,0,0,0,0,0,0,0,0,100,0.429,0.524,0.393,23,43,12
2017-10-18,6,0021700008,1610612740,NOP,New Orleans,0-1,34,18,18,21,0,0,0,0,0,0,0,0,0,0,91,0.38,0.828,0.28,15,51,17
2017-10-18,6,0021700008,1610612763,MEM,Memphis,1-0,27,27,25,24,0,0,0,0,0,0,0,0,0,0,103,0.424,0.571,0.31,19,45,11
2017-10-18,7,0021700009,1610612737,ATL,Atlanta,1-0,27,31,24,35,0,0,0,0,0,0,0,0,0,0,117,0.511,0.8,0.5,20,50,13
2017-10-18,7,0021700009,1610612742,DAL,Dallas,0-1,24,23,35,29,0,0,0,0,0,0,0,0,0,0,111,0.442,0.857,0.378,27,41,15
2017-10-18,8,0021700010,1610612743,DEN,Denver,0-1,30,28,25,13,0,0,0,0,0,0,0,0,0,0,96,0.468,0.917,0.481,21,38,20
2017-10-18,8,0021700010,1610612762,UTA,Utah,1-0,21,28,29,28,0,0,0,0,0,0,0,0,0,0,106,0.506,0.938,0.375,28,36,15
2017-10-18,9,0021700011,1610612750,MIN,Minnesota,0-1,25,24,28,22,0,0,0,0,0,0,0,0,0,0,99,0.435,0.739,0.421,23,42,13
2017-10-18,9,0021700011,1610612759,SAS,San Antonio,1-0,32,21,34,20,0,0,0,0,0,0,0,0,0,0,107,0.461,0.895,0.381,22,50,11
2017-10-18,10,0021700012,1610612757,POR,Portland,1-0,29,31,38,26,0,0,0,0,0,0,0,0,0,0,124,0.489,0.786,0.583,22,57,16
2017-10-18,10,0021700012,1610612756,PHX,Phoenix,0-1,21,14,20,21,0,0,0,0,0,0,0,0,0,0,76,0.315,0.722,0.259,10,33,16
2017-10-18,11,0021700013,1610612745,HOU,Houston,2-0,26,26,23,30,0,0,0,0,0,0,0,0,0,0,105,0.398,0.931,0.267,19,44,14
2017-10-18,11,0021700013,1610612758,SAC,Sacramento,0-1,25,23,24,28,0,0,0,0,0,0,0,0,0,0,100,0.477,0.8,0.348,19,42,17
2017-10-19,1,0021700014,1610612741,CHI,Chicago,0-1,23,14,27,36,0,0,0,0,0,0,0,0,0,0,100,0.416,0.889,0.313,22,39,19
2017-10-19,1,0021700014,1610612761,TOR,Toronto,1-0,25,33,26,33,0,0,0,0,0,0,0,0,0,0,117,0.47,0.929,0.448,26,49,17
2017-10-19,2,0021700015,1610612752,NYK,New York,0-1,24,18,17,25,0,0,0,0,0,0,0,0,0,0,84,0.405,0.684,0.292,19,41,25
