,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,Team,Opponent,Home,Date,Win,Minutes
0,115.0,44.0,91.0,48.4,10.0,31.0,32.3,17.0,21.0,81.0,10.0,43.0,53.0,22.0,14.0,4.0,3.0,20.0,5.0,117.5,118.3,-0.8,60.0,3.0,20.7,25.5,74.5,50.0,9.7,54.6,56.9,103.5,47.9,WAS,CHA,1,05/16/2021,W,48.0
1,99.0,42.0,90.0,46.7,9.0,30.0,30.0,6.0,10.0,60.0,5.0,34.0,39.0,24.0,13.0,10.0,5.0,22.0,-22.0,97.1,119.8,-22.7,57.1,1.85,18.0,14.3,74.5,43.8,12.7,51.7,52.4,101.5,40.3,SAC,UTA,1,05/16/2021,L,48.0
2,117.0,50.0,94.0,53.2,8.0,26.0,30.8,9.0,16.0,56.3,14.0,40.0,54.0,20.0,15.0,1.0,12.0,11.0,5.0,105.8,112.7,-7.0,67.6,1.92,17.4,25.4,72.9,46.7,12.5,46.8,52.6,103.0,47.5,OKC,LAC,1,05/16/2021,W,48.0
3,96.0,34.0,79.0,43.0,13.0,27.0,48.1,15.0,19.0,78.9,4.0,37.0,41.0,16.0,11.0,7.0,6.0,17.0,4.0,113.5,107.7,5.8,51.1,1.44,16.8,25.0,74.1,52.0,15.4,59.8,61.9,104.0,55.4,NYK,BOS,1,05/16/2021,W,48.0
4,123.0,53.0,104.0,51.0,13.0,35.0,37.1,4.0,4.0,100.0,10.0,38.0,48.0,36.0,8.0,7.0,5.0,13.0,2.0,117.9,107.6,10.3,70.8,2.62,22.4,27.1,67.8,49.5,12.3,58.4,60.7,105.5,57.2,PHX,SAS,0,05/16/2021,W,48.0
5,121.0,50.0,98.0,51.0,7.0,24.0,29.2,14.0,19.0,73.7,11.0,35.0,46.0,30.0,10.0,5.0,5.0,8.0,-2.0,120.4,93.1,27.3,65.3,2.46,21.5,29.8,75.0,55.9,12.6,58.3,61.1,102.5,67.8,SAS,PHX,1,05/16/2021,L,48.0
6,121.0,41.0,86.0,47.7,18.0,39.0,46.2,21.0,25.0,84.0,9.0,41.0,50.0,28.0,16.0,9.0,3.0,14.0,22.0,123.1,112.5,10.6,76.1,2.92,23.5,19.6,74.4,44.7,11.5,59.0,61.5,104.0,53.9,UTA,SAC,0,05/16/2021,W,48.0
7,92.0,35.0,86.0,40.7,11.0,41.0,26.8,11.0,15.0,73.3,9.0,37.0,46.0,19.0,12.0,4.0,6.0,19.0,-4.0,107.7,113.5,-5.8,36.8,1.17,10.6,25.9,75.0,48.0,11.5,48.9,53.8,104.0,44.6,BOS,NYK,0,05/16/2021,L,48.0
8,110.0,37.0,94.0,39.4,14.0,45.0,31.1,22.0,24.0,91.7,10.0,32.0,42.0,25.0,13.0,8.0,5.0,15.0,-5.0,118.4,136.1,-17.7,45.5,3.33,15.3,25.5,65.9,43.4,6.1,52.0,55.4,97.5,41.8,CHA,WAS,0,05/16/2021,L,48.0
9,112.0,45.0,106.0,42.5,10.0,43.0,23.3,12.0,15.0,80.0,16.0,28.0,44.0,17.0,3.0,8.0,3.0,14.0,-5.0,125.5,110.1,15.4,74.5,2.92,25.4,12.8,67.9,44.6,12.2,66.3,68.0,98.5,60.4,LAC,OKC,0,05/16/2021,L,48.0
10,112.0,38.0,90.0,42.2,12.0,37.0,32.4,24.0,32.0,75.0,10.0,31.0,41.0,14.0,12.0,13.0,5.0,16.0,-6.0,98.9,103.2,-4.3,54.3,1.58,15.1,26.4,84.8,53.5,12.9,47.1,49.7,93.0,46.7,MIL,CHI,0,05/16/2021,L,48.0
11,116.0,44.0,98.0,44.9,14.0,37.0,37.8,14.0,15.0,93.3,10.0,26.0,36.0,20.0,6.0,8.0,2.0,20.0,-16.0,122.2,137.4,-15.2,72.7,2.0,21.6,35.4,67.4,50.5,16.2,57.1,60.6,99.0,43.6,DEN,POR,0,05/16/2021,L,48.0
12,117.0,36.0,76.0,47.4,10.0,28.0,35.7,35.0,41.0,85.4,9.0,38.0,47.0,23.0,17.0,4.0,3.0,25.0,-11.0,118.2,112.0,6.2,40.0,1.33,14.7,35.4,69.4,54.5,15.2,57.4,57.9,99.5,54.9,ORL,PHI,0,05/16/2021,L,48.0
13,121.0,44.0,91.0,48.4,16.0,38.0,42.1,17.0,20.0,85.0,11.0,27.0,38.0,32.0,16.0,5.0,5.0,19.0,-15.0,101.0,114.1,-13.1,62.5,1.92,17.6,32.1,66.7,47.4,13.0,46.7,50.3,99.5,43.8,DAL,MIN,0,05/16/2021,L,48.0
14,98.0,37.0,78.0,47.4,9.0,25.0,36.0,15.0,21.0,71.4,8.0,39.0,47.0,26.0,21.0,4.0,5.0,18.0,-12.0,93.1,120.4,-27.3,80.6,1.56,17.6,25.0,70.2,44.1,15.7,43.5,47.1,102.5,32.2,NOP,LAL,1,05/16/2021,L,48.0
15,101.0,40.0,92.0,43.5,6.0,25.0,24.0,15.0,19.0,78.9,12.0,27.0,39.0,25.0,13.0,12.0,5.0,21.0,-12.0,118.3,117.5,0.8,67.9,4.5,23.5,25.5,74.5,50.0,7.7,57.2,58.2,103.5,52.1,MEM,GSW,0,05/16/2021,L,48.0
16,124.0,49.0,90.0,54.4,7.0,21.0,33.3,19.0,26.0,73.1,11.0,45.0,56.0,32.0,13.0,10.0,8.0,16.0,29.0,136.1,118.4,17.7,52.2,1.71,17.6,34.1,74.5,56.6,14.4,63.2,67.0,97.5,58.2,ATL,HOU,1,05/16/2021,W,48.0
17,113.0,39.0,97.0,40.2,12.0,38.0,31.6,23.0,29.0,79.3,16.0,32.0,48.0,21.0,12.0,8.0,3.0,12.0,-12.0,112.7,105.8,7.0,50.0,1.57,16.1,27.1,74.6,53.3,13.7,53.8,57.4,103.0,52.5,TOR,IND,1,05/16/2021,L,48.0
18,109.0,38.0,85.0,44.7,12.0,39.0,30.8,21.0,31.0,67.7,11.0,34.0,45.0,16.0,16.0,8.0,5.0,14.0,-14.0,112.5,123.1,-10.6,63.9,1.35,16.7,25.6,80.4,55.3,16.3,53.9,62.2,104.0,46.1,CLE,BKN,0,05/16/2021,L,48.0
