,Rank,Team,2020,Last 3,Last 1,Home,Away,2019
0,1,Phoenix,0.266,0.286,0.343,0.267,0.265,0.259
1,2,Denver,0.265,0.266,0.197,0.270,0.261,0.257
2,3,Charlotte,0.263,0.244,0.227,0.264,0.263,0.239
3,4,Miami,0.263,0.280,0.312,0.264,0.262,0.252
4,5,Golden State,0.262,0.239,0.186,0.277,0.247,0.245
5,6,Chicago,0.261,0.258,0.218,0.252,0.270,0.225
6,7,Indiana,0.260,0.295,0.262,0.245,0.275,0.251
7,8,Brooklyn,0.259,0.312,0.343,0.262,0.256,0.231
8,9,Memphis,0.257,0.216,0.179,0.255,0.260,0.253
9,10,New Orleans,0.250,0.206,0.252,0.252,0.248,0.248
10,11,Sacramento,0.247,0.251,0.231,0.254,0.240,0.231
11,12,LA Clippers,0.244,0.245,0.168,0.254,0.235,0.222
12,13,Minnesota,0.243,0.248,0.339,0.246,0.240,0.220
13,14,Milwaukee,0.242,0.241,0.133,0.248,0.236,0.238
14,15,LA Lakers,0.241,0.265,0.265,0.241,0.241,0.246
15,16,Detroit,0.238,0.220,0.254,0.228,0.248,0.237
16,17,Atlanta,0.238,0.234,0.304,0.246,0.230,0.222
17,18,San Antonio,0.237,0.233,0.199,0.240,0.234,0.236
18,19,Washington,0.236,0.223,0.297,0.237,0.235,0.235
19,20,Cleveland,0.236,0.217,0.157,0.244,0.227,0.225
20,21,Toronto,0.235,0.208,0.197,0.230,0.240,0.240
21,22,Utah,0.232,0.224,0.270,0.234,0.230,0.220
22,23,Boston,0.229,0.214,0.188,0.239,0.220,0.222
23,24,Philadelphia,0.229,0.302,0.331,0.249,0.209,0.248
24,25,Dallas,0.228,0.265,0.310,0.222,0.233,0.236
25,26,Houston,0.226,0.279,0.237,0.213,0.238,0.202
26,27,New York,0.215,0.230,0.167,0.215,0.214,0.215
27,28,Orlando,0.214,0.222,0.218,0.222,0.206,0.234
28,29,Okla City,0.211,0.180,0.197,0.214,0.209,0.208
29,30,Portland,0.209,0.216,0.236,0.206,0.212,0.195
