,Rank,Team,2020,Last 3,Last 1,Home,Away,2019
0,1,LA Lakers,1.039,1.013,0.980,1.036,1.043,1.036
1,2,Philadelphia,1.044,1.075,1.107,1.038,1.051,1.060
2,3,New York,1.050,1.010,0.963,1.053,1.046,1.094
3,4,Utah,1.051,1.006,0.954,1.023,1.078,1.073
4,5,Golden State,1.069,1.051,1.010,1.064,1.073,1.103
5,6,Memphis,1.076,1.030,0.956,1.071,1.082,1.070
6,7,Miami,1.080,1.088,1.044,1.090,1.070,1.066
7,8,LA Clippers,1.081,1.088,1.154,1.078,1.083,1.048
8,9,Phoenix,1.082,1.085,1.153,1.061,1.104,1.081
9,10,Milwaukee,1.084,1.121,1.117,1.075,1.092,1.007
10,11,Boston,1.088,0.985,0.940,1.084,1.091,1.034
11,12,Denver,1.088,1.097,1.297,1.079,1.098,1.085
12,13,Toronto,1.089,1.149,1.172,1.068,1.110,1.016
13,14,Chicago,1.090,1.055,1.060,1.092,1.088,1.065
14,15,Indiana,1.091,1.108,1.238,1.094,1.089,1.052
15,16,Detroit,1.092,1.112,1.171,1.068,1.115,1.092
16,17,Washington,1.095,1.047,1.003,1.093,1.097,1.118
17,18,San Antonio,1.095,1.159,0.996,1.107,1.084,1.103
18,19,Dallas,1.097,1.142,1.318,1.102,1.092,1.091
19,20,Charlotte,1.098,1.166,1.258,1.074,1.121,1.099
20,21,Atlanta,1.098,0.973,0.901,1.074,1.122,1.111
21,22,Brooklyn,1.104,1.050,1.070,1.075,1.133,1.066
22,23,New Orleans,1.104,1.139,1.067,1.092,1.117,1.084
23,24,Okla City,1.110,1.125,1.105,1.134,1.085,1.056
24,25,Cleveland,1.110,1.093,1.207,1.120,1.100,1.121
25,26,Orlando,1.113,1.198,1.211,1.122,1.104,1.065
26,27,Minnesota,1.113,1.157,1.173,1.109,1.118,1.087
27,28,Houston,1.116,1.149,1.176,1.106,1.126,1.063
28,29,Portland,1.124,1.119,1.140,1.120,1.128,1.112
29,30,Sacramento,1.138,1.106,1.166,1.161,1.115,1.088
