,Rank,Team,2020,Last 3,Last 1,Home,Away,2019
0,1,Chicago,80.3%,81.9%,78.7%,80.0%,80.6%,75.6%
1,2,New Orleans,80.0%,81.6%,83.0%,80.5%,79.3%,77.8%
2,3,Milwaukee,79.7%,79.9%,79.5%,80.8%,78.6%,81.9%
3,4,LA Lakers,79.7%,80.6%,80.0%,80.9%,78.4%,79.5%
4,5,Utah,79.3%,82.7%,89.1%,80.0%,78.7%,78.6%
5,6,LA Clippers,79.1%,75.8%,66.7%,79.5%,78.8%,78.0%
6,7,Denver,78.9%,77.2%,70.3%,80.2%,77.6%,76.8%
7,8,New York,78.6%,78.1%,80.4%,79.0%,78.2%,78.3%
8,9,Phoenix,78.5%,85.3%,77.6%,80.6%,76.3%,78.8%
9,10,Memphis,78.3%,73.2%,75.0%,78.9%,77.6%,77.8%
10,11,Orlando,78.2%,77.5%,80.9%,77.9%,78.5%,79.3%
11,12,Philadelphia,78.2%,72.6%,78.0%,77.3%,79.1%,80.1%
12,13,Boston,78.1%,74.3%,72.9%,78.9%,77.2%,78.0%
13,14,Okla City,77.9%,74.0%,71.4%,77.3%,78.5%,77.5%
14,15,Miami,77.9%,82.5%,82.5%,75.9%,79.9%,79.0%
15,16,Atlanta,77.8%,77.8%,80.4%,77.9%,77.7%,74.9%
16,17,Dallas,77.8%,78.9%,71.1%,78.2%,77.3%,77.9%
17,18,Washington,77.6%,79.0%,83.3%,78.1%,77.1%,75.3%
18,19,Portland,77.5%,74.5%,80.0%,77.2%,77.7%,75.1%
19,20,San Antonio,77.3%,79.6%,78.4%,78.3%,76.4%,79.2%
20,21,Brooklyn,77.3%,71.8%,75.0%,77.7%,76.8%,77.9%
21,22,Houston,77.1%,79.0%,74.4%,76.9%,77.3%,75.9%
22,23,Detroit,76.8%,79.0%,81.2%,76.4%,77.3%,75.9%
23,24,Minnesota,76.8%,72.6%,71.1%,76.7%,76.9%,77.2%
24,25,Golden State,76.6%,74.7%,74.0%,77.0%,76.2%,76.4%
25,26,Cleveland,76.6%,80.4%,89.5%,76.3%,76.8%,77.4%
26,27,Toronto,76.3%,77.0%,76.2%,76.5%,76.0%,77.4%
27,28,Charlotte,75.7%,77.0%,70.7%,76.1%,75.2%,74.4%
28,29,Indiana,75.1%,78.6%,81.6%,75.9%,74.3%,76.7%
29,30,Sacramento,75.0%,76.6%,79.1%,75.2%,74.9%,78.4%
