,Rank,Team,2020,Last 3,Last 1,Home,Away,2019
0,1,Brooklyn,57.5%,63.1%,66.3%,57.5%,57.5%,51.8%
1,2,Milwaukee,56.6%,57.8%,48.9%,57.4%,55.7%,55.0%
2,3,Phoenix,56.4%,58.2%,57.2%,57.0%,55.8%,53.2%
3,4,LA Clippers,56.4%,55.1%,47.2%,57.4%,55.4%,53.7%
4,5,Utah,56.3%,52.1%,58.1%,56.9%,55.8%,55.2%
5,6,Denver,55.7%,53.4%,52.0%,55.5%,55.9%,53.7%
6,7,Golden State,55.1%,56.7%,53.6%,56.9%,53.3%,49.7%
7,8,Dallas,55.0%,55.6%,57.1%,54.6%,55.3%,54.5%
8,9,Sacramento,54.9%,49.3%,51.7%,56.7%,53.2%,53.4%
9,10,Chicago,54.7%,54.1%,59.8%,54.3%,55.0%,51.5%
10,11,Miami,54.6%,58.2%,63.7%,55.1%,54.0%,54.5%
11,12,Indiana,54.3%,56.7%,48.5%,53.4%,55.1%,53.4%
12,13,Boston,54.2%,50.9%,47.4%,55.1%,53.2%,53.0%
13,14,Philadelphia,54.1%,55.5%,59.0%,55.6%,52.6%,52.9%
14,15,Portland,54.0%,59.1%,63.2%,53.3%,54.7%,53.1%
15,16,Atlanta,53.9%,55.4%,58.3%,54.8%,53.0%,51.5%
16,17,New Orleans,53.7%,50.2%,53.2%,53.9%,53.4%,53.9%
17,18,LA Lakers,53.5%,50.9%,46.2%,53.8%,53.2%,54.6%
18,19,Charlotte,53.2%,47.8%,52.1%,53.3%,53.1%,50.4%
19,20,Washington,53.1%,54.9%,65.6%,54.2%,52.1%,52.3%
20,21,Toronto,52.9%,51.3%,46.4%,52.3%,53.6%,53.5%
21,22,Memphis,52.7%,48.5%,48.3%,51.0%,54.5%,52.9%
22,23,New York,52.4%,53.6%,51.3%,53.1%,51.7%,50.1%
23,24,Houston,52.1%,55.1%,43.5%,50.7%,53.5%,53.7%
24,25,Minnesota,52.0%,53.2%,63.9%,51.2%,52.8%,51.4%
25,26,Detroit,51.9%,50.2%,52.9%,51.5%,52.4%,52.9%
26,27,San Antonio,51.5%,46.8%,39.2%,52.0%,51.1%,53.1%
27,28,Okla City,50.9%,52.1%,57.4%,51.5%,50.2%,52.8%
28,29,Cleveland,50.8%,51.4%,51.8%,52.3%,49.3%,52.2%
29,30,Orlando,49.0%,47.6%,53.9%,50.2%,47.8%,50.6%
