,Rank,Team,2020,Last 3,Last 1,Home,Away,2019
0,1,Brooklyn,1.148,1.183,1.207,1.138,1.158,1.051
1,2,LA Clippers,1.143,1.124,1.105,1.159,1.126,1.106
2,3,Portland,1.142,1.193,1.297,1.132,1.151,1.096
3,4,Utah,1.141,1.111,1.166,1.153,1.130,1.099
4,5,Phoenix,1.140,1.212,1.172,1.149,1.130,1.083
5,6,Milwaukee,1.140,1.175,1.060,1.149,1.131,1.091
6,7,Denver,1.137,1.124,1.140,1.143,1.132,1.097
7,8,Atlanta,1.121,1.153,1.176,1.136,1.105,1.037
8,9,Dallas,1.119,1.165,1.173,1.105,1.134,1.129
9,10,Boston,1.104,1.082,1.110,1.118,1.090,1.093
10,11,Sacramento,1.102,1.012,0.954,1.118,1.087,1.068
11,12,New Orleans,1.102,1.034,0.951,1.106,1.097,1.072
12,13,Philadelphia,1.098,1.155,1.211,1.123,1.073,1.076
13,14,Indiana,1.091,1.143,1.003,1.075,1.107,1.064
14,15,Memphis,1.087,1.007,0.996,1.066,1.107,1.060
15,16,Toronto,1.085,1.057,1.059,1.083,1.087,1.073
16,17,Chicago,1.081,1.068,1.117,1.075,1.087,1.035
17,18,Miami,1.080,1.125,1.171,1.095,1.066,1.093
18,19,Washington,1.080,1.089,1.238,1.099,1.060,1.074
19,20,Golden State,1.078,1.090,0.980,1.114,1.044,1.019
20,21,San Antonio,1.078,1.021,0.956,1.074,1.082,1.092
21,22,Charlotte,1.075,1.039,1.022,1.072,1.078,1.031
22,23,New York,1.073,1.067,1.004,1.095,1.051,1.031
23,24,LA Lakers,1.067,1.084,1.010,1.070,1.063,1.094
24,25,Minnesota,1.061,1.118,1.318,1.050,1.072,1.047
25,26,Detroit,1.048,0.966,1.044,1.038,1.058,1.057
26,27,Houston,1.040,1.073,0.901,1.025,1.056,1.088
27,28,Cleveland,1.026,1.025,1.070,1.053,1.000,1.044
28,29,Orlando,1.021,1.004,1.107,1.034,1.009,1.050
29,30,Okla City,1.007,1.037,1.154,1.018,0.997,1.068
