,Rank,Team,2020,Last 3,Last 1,Home,Away,2019
0,1,New Orleans,26.3%,21.8%,19.0%,25.4%,27.2%,24.2%
1,2,Denver,24.7%,24.1%,20.0%,25.0%,24.4%,24.5%
2,3,Utah,24.5%,29.3%,20.9%,25.5%,23.5%,21.7%
3,4,Atlanta,24.4%,23.1%,25.6%,24.6%,24.3%,21.6%
4,5,Boston,24.4%,23.5%,28.0%,25.3%,23.5%,23.4%
5,6,Memphis,24.2%,21.6%,21.6%,24.5%,23.8%,23.1%
6,7,Cleveland,23.6%,19.8%,25.0%,24.2%,23.0%,24.6%
7,8,Milwaukee,23.3%,21.0%,21.3%,23.9%,22.8%,20.7%
8,9,Charlotte,23.3%,20.0%,14.3%,23.5%,23.1%,23.9%
9,10,Philadelphia,23.2%,20.6%,19.1%,24.0%,22.4%,24.1%
10,11,Portland,23.0%,17.9%,29.7%,24.0%,22.1%,22.3%
11,12,LA Clippers,22.7%,22.5%,28.6%,22.4%,23.0%,23.2%
12,13,Minnesota,22.7%,29.4%,28.9%,23.1%,22.2%,22.1%
13,14,LA Lakers,22.6%,23.4%,26.0%,22.9%,22.3%,24.9%
14,15,Chicago,22.3%,25.9%,20.5%,22.3%,22.4%,22.8%
15,16,New York,21.9%,15.9%,9.8%,22.5%,21.3%,25.8%
16,17,Detroit,21.9%,17.2%,17.5%,21.5%,22.3%,22.6%
17,18,Orlando,21.6%,25.0%,22.0%,21.8%,21.5%,21.7%
18,19,Brooklyn,21.4%,13.4%,10.5%,20.8%,22.0%,22.9%
19,20,Sacramento,21.3%,21.5%,10.9%,19.6%,22.9%,21.9%
20,21,Washington,21.3%,23.4%,18.4%,21.0%,21.6%,22.2%
21,22,Okla City,21.2%,25.2%,33.3%,22.0%,20.3%,19.4%
22,23,Dallas,21.1%,23.7%,28.9%,21.4%,20.8%,22.7%
23,24,Toronto,20.8%,19.6%,30.2%,22.4%,19.3%,20.8%
24,25,Phoenix,20.8%,21.1%,22.2%,21.6%,20.0%,22.2%
25,26,Indiana,20.3%,22.6%,16.7%,19.4%,21.1%,19.7%
26,27,San Antonio,20.1%,21.2%,25.0%,20.1%,20.1%,20.1%
27,28,Houston,19.8%,20.3%,19.6%,19.9%,19.8%,20.1%
28,29,Miami,19.4%,24.8%,18.8%,20.8%,18.0%,20.1%
29,30,Golden State,17.9%,22.1%,20.0%,19.5%,16.5%,21.5%
