,Rank,Team,2020,Last 3,Last 1,Home,Away,2019
0,1,Washington,108.1,109.2,114.7,108.8,107.4,106.6
1,2,Indiana,106.1,111.9,114.7,105.7,106.4,102.4
2,3,Minnesota,105.7,103.4,103.2,104.9,106.5,108.1
3,4,Milwaukee,105.4,106.7,105.6,105.2,105.7,108.0
4,5,Golden State,105.3,103.4,102.0,104.4,106.1,104.3
5,6,Houston,104.6,105.3,105.4,104.0,105.1,107.0
6,7,Okla City,104.2,101.6,101.4,104.1,104.4,102.9
7,8,Memphis,104.1,102.0,100.4,102.9,105.3,106.4
8,9,New Orleans,104.0,105.4,103.0,104.1,103.9,108.0
9,10,Philadelphia,103.5,99.2,105.7,104.6,102.4,102.4
10,11,Brooklyn,103.3,100.3,101.9,103.6,103.0,106.0
11,12,Sacramento,103.2,103.7,103.8,102.9,103.5,103.0
12,13,San Antonio,102.9,104.4,100.4,102.6,103.1,104.4
13,14,LA Lakers,102.6,103.0,102.0,103.9,101.2,103.5
14,15,Toronto,102.6,102.4,106.7,102.6,102.6,104.7
15,16,Chicago,102.4,100.8,105.6,101.8,102.9,103.2
16,17,Boston,102.1,102.9,106.3,102.2,102.0,103.3
17,18,Utah,102.0,98.4,103.8,101.9,102.1,101.5
18,19,Charlotte,101.9,107.8,114.5,101.1,102.7,99.8
19,20,Orlando,101.8,101.9,105.7,102.0,101.7,102.2
20,21,Detroit,101.7,102.8,102.5,101.3,102.2,101.5
21,22,Portland,101.7,98.9,101.7,101.9,101.6,104.6
22,23,Atlanta,101.5,104.1,105.4,101.6,101.3,107.8
23,24,Denver,101.2,99.1,101.7,102.5,99.9,100.8
24,25,Cleveland,101.2,102.8,101.9,102.1,100.2,102.4
25,26,Phoenix,101.1,104.8,105.0,101.4,100.9,104.9
26,27,Dallas,100.5,103.0,103.2,100.5,100.4,103.7
27,28,Miami,100.0,99.0,102.5,99.6,100.5,102.1
28,29,LA Clippers,99.8,100.8,101.4,100.1,99.5,104.9
29,30,New York,99.8,98.7,95.6,99.8,99.7,102.6
