,Rank,Team,2020,Last 3,Last 1,Home,Away,2019
0,1,New Orleans,53.1%,51.7%,50.0%,53.6%,52.6%,51.1%
1,2,Utah,52.8%,55.2%,55.4%,53.8%,51.8%,50.9%
2,3,Milwaukee,52.0%,51.4%,49.5%,53.4%,50.6%,52.4%
3,4,Denver,51.8%,51.0%,43.0%,52.6%,51.0%,50.5%
4,5,Atlanta,51.7%,51.9%,55.3%,52.4%,51.0%,48.2%
5,6,Chicago,51.6%,52.9%,50.5%,51.5%,51.6%,47.9%
6,7,LA Lakers,51.5%,53.2%,52.7%,52.4%,50.7%,51.7%
7,8,LA Clippers,51.4%,48.7%,45.2%,51.9%,50.8%,51.0%
8,9,Philadelphia,51.1%,46.6%,45.0%,51.6%,50.5%,51.4%
9,10,Boston,50.9%,51.8%,51.7%,51.7%,50.1%,50.8%
10,11,Memphis,50.8%,48.6%,50.8%,51.0%,50.5%,50.7%
11,12,Cleveland,50.4%,54.4%,56.7%,50.9%,49.9%,51.2%
12,13,New York,50.3%,46.9%,47.1%,50.5%,50.1%,51.4%
13,14,Brooklyn,50.2%,47.3%,43.3%,50.6%,49.9%,51.0%
14,15,Okla City,49.7%,51.6%,54.8%,50.4%,48.9%,49.9%
15,16,Washington,49.6%,52.8%,56.1%,49.8%,49.5%,47.8%
16,17,Phoenix,49.5%,51.4%,49.0%,51.1%,47.9%,49.6%
17,18,Dallas,49.5%,49.8%,50.5%,49.5%,49.4%,50.9%
18,19,Charlotte,49.4%,46.4%,39.3%,50.2%,48.6%,48.8%
19,20,Detroit,49.4%,47.2%,46.9%,49.9%,49.0%,49.6%
20,21,Portland,49.2%,49.3%,57.0%,49.0%,49.5%,48.9%
21,22,Miami,49.2%,52.1%,53.1%,49.4%,49.0%,51.0%
22,23,Orlando,49.1%,52.0%,55.0%,49.2%,49.0%,49.8%
23,24,Minnesota,48.6%,48.3%,49.5%,49.1%,48.1%,49.1%
24,25,Sacramento,48.4%,47.3%,44.6%,48.0%,48.9%,49.2%
25,26,San Antonio,48.4%,49.5%,49.2%,49.3%,47.6%,49.4%
26,27,Houston,47.8%,48.4%,44.7%,47.8%,47.9%,47.6%
27,28,Golden State,47.8%,48.3%,47.3%,48.8%,46.8%,48.1%
28,29,Toronto,47.6%,47.5%,51.3%,48.7%,46.5%,49.5%
29,30,Indiana,47.5%,51.1%,43.9%,47.2%,47.7%,48.4%
