,Rank,Team,2020,Last 3,Last 1,Home,Away,2019
0,1,Brooklyn,120.9%,128.5%,135.1%,121.1%,120.7%,109.6%
1,2,LA Clippers,119.0%,114.9%,99.0%,120.8%,117.1%,114.6%
2,3,Phoenix,118.6%,122.6%,116.1%,119.3%,117.9%,114.3%
3,4,Utah,118.4%,110.9%,123.6%,120.1%,116.7%,116.5%
4,5,Milwaukee,117.8%,120.8%,106.5%,118.8%,116.8%,115.3%
5,6,Denver,116.8%,111.7%,110.3%,116.7%,117.0%,113.3%
6,7,Golden State,115.8%,119.5%,111.0%,119.4%,112.2%,107.2%
7,8,Dallas,115.5%,117.7%,120.4%,114.8%,116.1%,115.1%
8,9,Miami,115.3%,119.5%,128.3%,117.0%,113.6%,116.3%
9,10,Atlanta,115.1%,117.2%,121.2%,116.8%,113.4%,109.9%
10,11,Sacramento,114.8%,102.9%,104.5%,118.1%,111.6%,112.3%
11,12,Philadelphia,114.8%,116.8%,122.0%,117.2%,112.3%,111.8%
12,13,Portland,114.6%,122.9%,132.9%,113.5%,115.6%,112.8%
13,14,Chicago,114.2%,111.4%,122.9%,113.7%,114.7%,108.6%
14,15,Indiana,114.2%,117.9%,104.6%,112.6%,115.7%,112.2%
15,16,Boston,113.9%,108.5%,106.1%,116.1%,111.6%,113.1%
16,17,Washington,113.0%,116.0%,134.8%,114.7%,111.2%,111.6%
17,18,New Orleans,113.0%,107.1%,111.4%,113.6%,112.4%,112.7%
18,19,Toronto,112.6%,107.5%,102.0%,111.8%,113.5%,113.6%
19,20,LA Lakers,112.6%,108.4%,100.1%,113.7%,111.4%,114.6%
20,21,Charlotte,111.9%,103.5%,110.5%,111.5%,112.3%,106.9%
21,22,New York,111.0%,113.8%,109.1%,112.8%,109.2%,105.3%
22,23,Memphis,111.0%,101.6%,98.6%,107.9%,114.2%,111.4%
23,24,Detroit,110.3%,107.3%,110.9%,109.7%,110.8%,111.3%
24,25,Minnesota,110.1%,112.6%,133.5%,109.1%,111.0%,109.2%
25,26,Houston,109.8%,114.6%,93.6%,107.5%,112.0%,114.4%
26,27,San Antonio,109.7%,101.6%,88.6%,109.9%,109.5%,113.4%
27,28,Cleveland,107.7%,110.3%,109.3%,110.8%,104.6%,109.8%
28,29,Okla City,107.0%,108.8%,115.2%,108.0%,105.9%,113.0%
29,30,Orlando,104.6%,104.8%,122.5%,106.5%,102.7%,108.0%
